"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2021","Co. Longford","Number","3"
"Persons Killed","2021","Co. Louth","Number","7"
"Persons Killed","2021","Co. Meath","Number","14"
"Persons Killed","2021","Co. Offaly","Number","0"
"Persons Killed","2021","Co. Westmeath","Number","2"
"Persons Killed","2021","Co. Wexford","Number","7"
"Persons Killed","2021","Co. Wicklow","Number","1"
"Persons Killed","2021","Co. Clare","Number","3"
"Persons Killed","2021","Co. Cork","Number","8"
"Persons Killed","2021","Co. Kerry","Number","6"
"Persons Killed","2021","Co. Limerick","Number","5"
"Persons Killed","2021","Co. Tipperary","Number","11"
"Persons Killed","2021","Co. Waterford","Number","1"
"Persons Killed","2021","Co. Galway","Number","12"
"Persons Killed","2021","Co. Leitrim","Number","0"
"Persons Killed","2021","Co. Mayo","Number","5"
"Persons Killed","2021","Co. Roscommon","Number","2"
"Persons Killed","2021","Co. Sligo","Number","1"
"Persons Killed","2021","Co. Cavan","Number","5"
"Persons Killed","2021","Co. Donegal","Number","7"
"Persons Killed","2021","Co. Monaghan","Number","5"
"Persons Injured","2001","Co. Carlow","Number","131"
"Persons Injured","2001","Co. Dublin","Number","2707"
"Persons Injured","2001","Co. Kildare","Number","349"
"Persons Injured","2001","Co. Kilkenny","Number","220"
"Persons Injured","2001","Co. Laois","Number","196"
"Persons Injured","2001","Co. Longford","Number","122"
"Persons Injured","2001","Co. Louth","Number","303"
